#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::07 Imperfecto de subjuntivo
#columns:Front,Back,Tags
#tags column:3
"How is the <b>imperfecto de subjuntivo</b> formed?","Take the <b>ellos form of the preterite</b>, drop <b>-ron</b>, add:<br><br><b>-ra set</b>: ra · ras · ra · ramos · rais · ran<br><b>-se set</b>: se · ses · se · semos · seis · sen<br><br>hablaron → habla- · comieron → comie- · fueron → fue-<br><br><b>No exceptions at all.</b> The nosotros form takes an accent: habláramos.","imperfecto-subjuntivo formation"
"Endings at a glance:<br><i>Imperfecto de subjuntivo</i>","<b>-ra</b>: ra · ras · ra · ramos · rais · ran<br><b>-se</b>: se · ses · se · semos · seis · sen<br>The <b>nosotros</b> form accents the last stem vowel:<br>habl<b>á</b>ramos · com<b>ié</b>ramos · tuv<b>ié</b>ramos","imperfecto-subjuntivo endings"
"Mi madre quería que yo la <b>esperara</b> en la estación.<br><i>Imperfecto de subjuntivo</i>","My mum wanted <b>me to wait</b> for her at the station.<br><span style='font-size:85%'>esperar — to wait (for) · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"If <b>I worked</b> from home, I'd see the kids more.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(trabajar · yo)</span>","Si <b>trabajara</b> desde casa, vería más a los niños.<br><span style='font-size:85%'>trabajar — to work · yo · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo regular en-es use-si-clause"
"Te pedí que me <b>llamaras</b> al llegar.<br><i>Imperfecto de subjuntivo</i>","I asked <b>you to call</b> me when you got there.<br><span style='font-size:85%'>llamar — to call · tú · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"You look at me as if <b>you hated</b> me.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(odiar · tú)</span>","Me miras como si me <b>odiaras</b>.<br><span style='font-size:85%'>odiar — to hate · tú · <i>como si: as if</i></span>","imperfecto-subjuntivo regular en-es use-como-si"
"A mi padre le molestaba que mi madre <b>ganara</b> más que él.<br><i>Imperfecto de subjuntivo</i>","It bothered my dad that my mum <b>earned</b> more than him.<br><span style='font-size:85%'>ganar — to earn · ella · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo regular es-en use-emotion"
"To be honest, I didn't think <b>he'd arrive</b> on time.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(llegar · él)</span>","No creía que <b>llegara</b> a tiempo, la verdad.<br><span style='font-size:85%'>llegar — to arrive · él · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo regular en-es use-doubt"
"Mi hermana insistió en que <b>quedáramos</b> el sábado.<br><i>Imperfecto de subjuntivo</i>","My sister insisted that <b>we meet up</b> on Saturday.<br><span style='font-size:85%'>quedar — to meet up · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo regular es-en use-wish"
"I wish <b>we travelled</b> more, like we used to.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(viajar · nosotros)</span>","Ojalá <b>viajáramos</b> más, como antes.<br><span style='font-size:85%'>viajar — to travel · nosotros · <i>ojalá: unlikely or impossible wish</i></span>","imperfecto-subjuntivo regular en-es use-ojala"
"Dejé la mesa puesta para que <b>cenarais</b> al volver.<br><i>Imperfecto de subjuntivo</i>","I left the table laid so <b>you guys could have dinner</b> when you got back.<br><span style='font-size:85%'>cenar — to have dinner · vosotros · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo regular es-en use-purpose"
"If <b>you guys helped</b> a bit more around the house, I wouldn't be so tired.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(ayudar · vosotros)</span>","Si <b>ayudarais</b> un poco más en casa, no estaría tan cansada.<br><span style='font-size:85%'>ayudar — to help · vosotros · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo regular en-es use-si-clause"
"Me sorprendió que <b>aprobaran</b> todos mis alumnos.<br><i>Imperfecto de subjuntivo</i>","I was surprised that all my students <b>passed</b>.<br><span style='font-size:85%'>aprobar — to pass (an exam) · ellos · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo regular es-en use-emotion"
"We were looking for flatmates who <b>would pay</b> on time.<br><i>Imperfecto de subjuntivo</i><br><span style='font-size:80%'>(pagar · ellos)</span>","Buscábamos compañeros de piso que <b>pagaran</b> a tiempo.<br><span style='font-size:85%'>pagar — to pay · ellos · <i>unknown or hypothetical antecedent (past)</i></span>","imperfecto-subjuntivo regular en-es use-relative"
"Mi jefe quería que yo <b>terminase</b> el informe antes del viernes.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","My boss wanted <b>me to finish</b> the report before Friday.<br><span style='font-size:85%'>terminar — to finish · yo · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"Te lo dije para que no te <b>preocupases</b>.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I told you so that <b>you wouldn't worry</b>.<br><span style='font-size:85%'>preocuparse — to worry · tú · <i>para que / antes de que / sin que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-purpose"
"Si mi marido <b>cocinase</b> más, yo tendría más tiempo libre.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","If my husband <b>cooked</b> more, I'd have more free time.<br><span style='font-size:85%'>cocinar — to cook · él · <i>si + hypothetical → conditional</i></span>","imperfecto-subjuntivo se-forms es-en use-si-clause"
"La profesora nos pidió que <b>hablásemos</b> solo en español.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","The teacher asked <b>us to speak</b> only Spanish.<br><span style='font-size:85%'>hablar — to speak · nosotros · <i>wish or influence + que (past or conditional)</i></span>","imperfecto-subjuntivo se-forms es-en use-wish"
"No me gustó nada que <b>gritaseis</b> en el restaurante.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I really didn't like <b>you guys shouting</b> in the restaurant.<br><span style='font-size:85%'>gritar — to shout · vosotros · <i>emotion or judgement + que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-emotion"
"Dudaba que me <b>arreglasen</b> el coche en un día.<br><i>Imperfecto de subjuntivo</i> <i>[-se forms]</i>","I doubted <b>they'd fix</b> my car in a day.<br><span style='font-size:85%'>arreglar — to fix · ellos · <i>doubt, denial or disbelief + que (past)</i></span>","imperfecto-subjuntivo se-forms es-en use-doubt"
