#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::12 Condicional compuesto
#columns:Front,Back,Tags
#tags column:3
"How is the <b>Condicional compuesto</b> formed?","<b>haber in the <b>conditional</b></b> + past participle<br><br>habría · habrías · habría · habríamos · habríais · habrían<br><br>Participles: -ar → <b>-ado</b> · -er/-ir → <b>-ido</b>","condicional-compuesto formation"
"Endings at a glance:<br><i>Condicional compuesto</i>","<b>haber</b>: habría · habrías · habría · habríamos · habríais · habrían<br>participle is <b>invariable</b> — always -o","condicional-compuesto endings"
"Si hubiera sabido que estabas en el hospital, te <b>habría llamado</b>.<br><i>Condicional compuesto</i>","If I'd known you were in hospital, <b>I would have called</b> you.<br><span style='font-size:85%'>llamar — to call · yo · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"In your shoes, <b>I would have accepted</b> the offer.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(aceptar · yo)</span>","Yo, en tu lugar, <b>habría aceptado</b> la oferta.<br><span style='font-size:85%'>aceptar — to accept · yo · <i>hindsight: regret, preference or criticism (yo, en tu lugar…)</i></span>","condicional-compuesto regular en-es use-regret"
"Con un poco más de suerte, <b>habrías ganado</b> la carrera.<br><i>Condicional compuesto</i>","With a bit more luck, <b>you would have won</b> the race.<br><span style='font-size:85%'>ganar — to win · tú · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular es-en use-unrealised"
"If you'd left earlier, <b>you would have got there</b> on time.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(llegar · tú)</span>","Si hubieras salido antes, <b>habrías llegado</b> a tiempo.<br><span style='font-size:85%'>llegar — to arrive, to get there · tú · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular en-es use-counterfactual"
"Pedro no cogía el teléfono: se <b>habría dejado</b> el móvil en casa.<br><i>Condicional compuesto</i>","Pedro wasn't picking up: <b>he must have left</b> his phone at home.<br><span style='font-size:85%'>dejar — to leave (behind) · él · <i>conjecture about the past (must have…)</i></span>","condicional-compuesto regular es-en use-conjecture"
"My sister said <b>she would have finished</b> the report by Friday.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(terminar · ella)</span>","Mi hermana dijo que <b>habría terminado</b> el informe para el viernes.<br><span style='font-size:85%'>terminar — to finish · ella · <i>reported future perfect (dijo que habría…)</i></span>","condicional-compuesto regular en-es use-reported"
"Si no hubiera llovido, <b>habríamos cenado</b> en la terraza.<br><i>Condicional compuesto</i>","If it hadn't rained, <b>we would have had dinner</b> on the terrace.<br><span style='font-size:85%'>cenar — to have dinner · nosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
"<b>We would have bought</b> the flat, but the bank didn't give us the mortgage.<br><i>Condicional compuesto</i><br><span style='font-size:80%'>(comprar · nosotros)</span>","<b>Habríamos comprado</b> el piso, pero el banco no nos dio la hipoteca.<br><span style='font-size:85%'>comprar — to buy · nosotros · <i>unrealised outcome (condition implied: pero…, sin…, con…)</i></span>","condicional-compuesto regular en-es use-unrealised"
"Si hubierais reservado con antelación, <b>habríais pagado</b> la mitad.<br><i>Condicional compuesto</i>","If you guys had booked in advance, <b>you would have paid</b> half.<br><span style='font-size:85%'>pagar — to pay · vosotros · <i>past counterfactual (si + pluscuamperfecto de subjuntivo)</i></span>","condicional-compuesto regular es-en use-counterfactual"
