#separator:comma
#html:true
#notetype:Basic
#deck:Spanish::06 Condicional simple
#columns:Front,Back,Tags
#tags column:3
"How is the <b>condicional simple</b> formed?","<b>Whole infinitive</b> + ía · ías · ía · íamos · íais · ían<br><br>Identical for -ar, -er and -ir. Every form carries an accent on the <b>í</b>.","condicional-simple formation"
"Endings at a glance:<br><i>Condicional simple</i>","<b>all three conjugations</b>: ía · ías · ía · íamos · íais · ían","condicional-simple endings"
"Yo que tú, <b>llamaría</b> al casero hoy mismo.<br><i>Condicional simple</i>","If I were you, <b>I'd call</b> the landlord today.<br><span style='font-size:85%'>llamar — to call · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple regular es-en use-advice"
"If I were you, <b>I wouldn't accept</b> that offer.<br><i>Condicional simple</i><br><span style='font-size:80%'>(aceptar · yo)</span>","Yo que tú, no <b>aceptaría</b> esa oferta.<br><span style='font-size:85%'>aceptar — to accept · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple regular en-es use-advice"
"¿Me <b>ayudarías</b> a bajar la maleta?<br><i>Condicional simple</i>","<b>Would you help</b> me get my suitcase down?<br><span style='font-size:85%'>ayudar — to help · tú · <i>politeness / softening</i></span>","condicional-simple regular es-en use-politeness"
"You said <b>you'd let</b> me know!<br><i>Condicional simple</i><br><span style='font-size:80%'>(avisar · tú)</span>","¡Me dijiste que me <b>avisarías</b>!<br><span style='font-size:85%'>avisar — to let know, to warn · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"Me <b>gustaría</b> reservar una mesa para cuatro, por favor.<br><i>Condicional simple</i>","<b>I'd like</b> to book a table for four, please.<br><span style='font-size:85%'>gustar — to like (me gustaría = I'd like) · él (gustar) · <i>politeness / softening</i></span>","condicional-simple regular es-en use-politeness"
"Where was Luis last night? — <b>He was probably</b> at work.<br><i>Condicional simple</i><br><span style='font-size:80%'>(estar · él)</span>","¿Dónde estaba Luis anoche? —<b>Estaría</b> en el trabajo.<br><span style='font-size:85%'>estar — to be (location, state) · él · <i>conjecture about the past</i></span>","condicional-simple regular en-es use-conjecture"
"Si tuviéramos más dinero, <b>viajaríamos</b> mucho más.<br><i>Condicional simple</i>","If we had more money, <b>we'd travel</b> a lot more.<br><span style='font-size:85%'>viajar — to travel · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular es-en use-hypothetical"
"We promised them <b>we'd give</b> them a hand with the move.<br><i>Condicional simple</i><br><span style='font-size:80%'>(echar · nosotros)</span>","Les prometimos que les <b>echaríamos</b> una mano con la mudanza.<br><span style='font-size:85%'>echar — to give (echar una mano = to lend a hand) · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"¿Qué <b>cambiaríais</b> de vuestro piso si pudierais?<br><i>Condicional simple</i>","What <b>would you guys change</b> about your flat if you could?<br><span style='font-size:85%'>cambiar — to change · vosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular es-en use-hypothetical"
"<b>Would you guys lend</b> me your van on Saturday?<br><i>Condicional simple</i><br><span style='font-size:80%'>(dejar · vosotros)</span>","¿Me <b>dejaríais</b> vuestra furgoneta el sábado?<br><span style='font-size:85%'>dejar — to lend · vosotros · <i>politeness / softening</i></span>","condicional-simple regular en-es use-politeness"
"¿A qué hora llegaron? —<b>Llegarían</b> sobre las once.<br><i>Condicional simple</i>","What time did they get in? — <b>They must have got in</b> around eleven.<br><span style='font-size:85%'>llegar — to arrive · ellos · <i>conjecture about the past</i></span>","condicional-simple regular es-en use-conjecture"
"They said <b>they'd cut off</b> the water in the morning.<br><i>Condicional simple</i><br><span style='font-size:80%'>(cortar · ellos)</span>","Dijeron que <b>cortarían</b> el agua por la mañana.<br><span style='font-size:85%'>cortar — to cut off · ellos · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"Yo, si pudiera, <b>volvería</b> a Granada mañana mismo.<br><i>Condicional simple</i>","If I could, <b>I'd go back</b> to Granada tomorrow.<br><span style='font-size:85%'>volver — to go back · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular es-en use-hypothetical"
"If I were you, <b>I'd sell</b> the car while it's still worth something.<br><i>Condicional simple</i><br><span style='font-size:80%'>(vender · yo)</span>","Yo que tú, <b>vendería</b> el coche ahora que todavía vale algo.<br><span style='font-size:85%'>vender — to sell · yo · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple regular en-es use-advice"
"<b>Deberías</b> ir al médico; esa tos no es normal.<br><i>Condicional simple</i>","<b>You should</b> go to the doctor — that cough isn't normal.<br><span style='font-size:85%'>deber — should, ought to · tú · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple regular es-en use-advice"
"<b>Would you believe</b> me if I told you I'd been promoted?<br><i>Condicional simple</i><br><span style='font-size:80%'>(creer · tú)</span>","¿Me <b>creerías</b> si te dijera que me han ascendido?<br><span style='font-size:85%'>creer — to believe · tú · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular en-es use-hypothetical"
"<b>Sería</b> la una cuando por fin se durmió el bebé.<br><i>Condicional simple</i>","<b>It must have been</b> about one when the baby finally went to sleep.<br><span style='font-size:85%'>ser — to be · impersonal (la una) · <i>conjecture about the past</i></span>","condicional-simple regular es-en use-conjecture"
"The forecast said <b>it would rain</b> all weekend.<br><i>Condicional simple</i><br><span style='font-size:80%'>(llover · impersonal)</span>","La previsión decía que <b>llovería</b> todo el fin de semana.<br><span style='font-size:85%'>llover — to rain · impersonal · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"<b>Deberíamos</b> salir ya, que hay mucho tráfico.<br><i>Condicional simple</i>","<b>We should</b> leave now — there's loads of traffic.<br><span style='font-size:85%'>deber — should, ought to · nosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple regular es-en use-advice"
"If we lived closer, <b>we'd see</b> each other more often.<br><i>Condicional simple</i><br><span style='font-size:80%'>(verse · nosotros)</span>","Si viviéramos más cerca, nos <b>veríamos</b> más a menudo.<br><span style='font-size:85%'>verse — to see each other · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular en-es use-hypothetical"
"Creía que os <b>perderíais</b> sin el GPS, pero llegasteis los primeros.<br><i>Condicional simple</i>","I thought <b>you'd get lost</b> without the satnav, but you got here first.<br><span style='font-size:85%'>perderse — to get lost · vosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular es-en use-reported"
"<b>Would you guys take in</b> my parcel if it comes while I'm out?<br><i>Condicional simple</i><br><span style='font-size:80%'>(recoger · vosotros)</span>","¿Me <b>recogeríais</b> el paquete si llega cuando no estoy?<br><span style='font-size:85%'>recoger — to pick up, to take in · vosotros · <i>politeness / softening</i></span>","condicional-simple regular en-es use-politeness"
"<b>Serían</b> las diez cuando nos llamaron.<br><i>Condicional simple</i>","<b>It must have been</b> about ten when they rang us.<br><span style='font-size:85%'>ser — to be · impersonal (las diez) · <i>conjecture about the past</i></span>","condicional-simple regular es-en use-conjecture"
"If I told them, my parents <b>wouldn't understand</b>.<br><i>Condicional simple</i><br><span style='font-size:80%'>(entender · ellos)</span>","Si se lo contara, mis padres no lo <b>entenderían</b>.<br><span style='font-size:85%'>entender — to understand · ellos · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular en-es use-hypothetical"
"<b>Preferiría</b> quedar otro día, si no te importa.<br><i>Condicional simple</i>","<b>I'd rather</b> meet up another day, if you don't mind.<br><span style='font-size:85%'>preferir — to prefer · yo · <i>politeness / softening</i></span>","condicional-simple regular es-en use-politeness"
"If I had the time, <b>I'd go</b> to the gym every day.<br><i>Condicional simple</i><br><span style='font-size:80%'>(ir · yo)</span>","Si tuviera tiempo, <b>iría</b> al gimnasio todos los días.<br><span style='font-size:85%'>ir — to go · yo · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular en-es use-hypothetical"
"¿Me <b>abrirías</b> la puerta? Voy cargada de bolsas.<br><i>Condicional simple</i>","<b>Would you open</b> the door for me? I'm loaded down with bags.<br><span style='font-size:85%'>abrir — to open · tú · <i>politeness / softening</i></span>","condicional-simple regular es-en use-politeness"
"I thought <b>you'd go for</b> the striped one.<br><i>Condicional simple</i><br><span style='font-size:80%'>(elegir · tú)</span>","Creía que <b>elegirías</b> la de rayas.<br><span style='font-size:85%'>elegir — to choose · tú · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"Mi jefe me dijo que me <b>subiría</b> el sueldo en enero.<br><i>Condicional simple</i>","My boss told me <b>he'd give</b> me a pay rise in January.<br><span style='font-size:85%'>subir — to raise · él · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular es-en use-reported"
"<b>He must have been doing</b> about 150 km/h when the Guardia Civil pulled him over.<br><i>Condicional simple</i><br><span style='font-size:80%'>(ir · él)</span>","<b>Iría</b> a unos 150 por hora cuando lo paró la Guardia Civil.<br><span style='font-size:85%'>ir — to go · él · <i>conjecture about the past</i></span>","condicional-simple regular en-es use-conjecture"
"Si no hubiera tanto ruido en la calle, <b>dormiríamos</b> mucho mejor.<br><i>Condicional simple</i>","If there wasn't so much noise in the street, <b>we'd sleep</b> much better.<br><span style='font-size:85%'>dormir — to sleep · nosotros · <i>hypothetical result (si + imperfect subjunctive)</i></span>","condicional-simple regular es-en use-hypothetical"
"We agreed <b>we'd split</b> the cost of the trip.<br><i>Condicional simple</i><br><span style='font-size:80%'>(compartir · nosotros)</span>","Acordamos que <b>compartiríamos</b> los gastos del viaje.<br><span style='font-size:85%'>compartir — to share, to split · nosotros · <i>future-in-the-past (reported speech)</i></span>","condicional-simple regular en-es use-reported"
"¿Me <b>escribiríais</b> una carta de recomendación?<br><i>Condicional simple</i>","<b>Would you two write</b> me a reference letter?<br><span style='font-size:85%'>escribir — to write · vosotros · <i>politeness / softening</i></span>","condicional-simple regular es-en use-politeness"
"I reckon <b>you'd live</b> better out in the suburbs, with the kids.<br><i>Condicional simple</i><br><span style='font-size:80%'>(vivir · vosotros)</span>","Yo creo que <b>viviríais</b> mejor en las afueras, con los niños.<br><span style='font-size:85%'>vivir — to live · vosotros · <i>advice (deberías, yo que tú…)</i></span>","condicional-simple regular en-es use-advice"
"Los ladrones <b>huirían</b> por el balcón, porque la puerta seguía cerrada con llave.<br><i>Condicional simple</i>","The burglars <b>must have escaped</b> via the balcony, because the door was still locked.<br><span style='font-size:85%'>huir — to escape, to flee · ellos · <i>conjecture about the past</i></span>","condicional-simple regular es-en use-conjecture"
